country,scoredemo,scorelibeco,scoreparpol,scorepbi,cpiscore,educasec,gini_ind
Japan,8.13,69.9,9.9,1.794339801,73,32.9,32.9
Jordan,3.62,60.1,15.4,4.669068394,49,33.7,33.7
Kazakhstan,3.14,64.4,27.1,8.72919995,37,27.5,27.5
Kenya,5.05,52.6,21.8,3.044994852,30,40.8,40.8
Latvia,7.24,74.8,30,11.91807254,59,35.6,35.6
Lebanon,4.16,47.3,4.7,-0.141752644,24,31.8,31.8
Lesotho,6.3,48.1,23.3,3.976062897,38,44.9,44.9
Liberia,5.32,47.9,12.3,2.583517847,29,35.3,35.3
Lithuania,7.13,75.8,27,9.501044182,61,37.3,37.3
Luxembourg,8.68,80.6,30,0.926765761,81,34.9,34.9
Madagascar,5.7,58.9,17.9,1.706699388,26,42.6,42.6
Malawi,5.74,53,22.9,0.617777854,35,44.7,44.7
Malaysia,7.19,68.1,14.9,3.282258341,48,41,41
Mali,3.93,55.9,27.9,3.145556735,29,40.1,40.1
Malta,7.68,71.5,13.4,2.726684298,54,29.2,29.2
Mauritania,3.92,55.3,20.3,5.516578455,28,32.6,32.6
Mauritius,8.14,70.9,20,1.176699104,54,36.8,36.8
Mexico,6.07,63.7,48.2,0.869521533,31,36.8,36.8
Mongolia,6.48,63.9,17.3,5.978599393,35,32.7,32.7
Montenegro,5.77,57.8,22.2,4.026604843,46,39,39
Morocco,5.04,59.2,20.5,2.084359438,39,39.5,39.5
Mozambique,3.51,51.3,42.4,3.610136919,26,54,54
Namibia,6.52,59.2,43.3,0.911754304,49,59.1,59.1
Nepal,5.22,49.7,32.7,2.172198934,33,32.8,32.8
Netherlands,8.96,79.5,33.3,1.812699193,82,28.5,28.5
New Zealand,9.25,80.6,48.3,2.161017439,88,36.2,36.2
Nicaragua,3.6,54.8,47.3,2.868073326,20,46.2,46.2
Niger,3.29,54.9,17,3.404276737,31,34.3,34.3
Nigeria,4.1,54.4,3.6,3.721623939,24,35.1,35.1
North Macedonia,5.89,65.7,39.2,4.502440294,39,34.2,34.2
Norway,9.81,76.9,41.4,1.928840748,85,27,27
Pakistan,4.31,48.8,20.2,4.100530677,28,33.5,33.5
Panama,7.18,65.4,22.5,5.232159436,36,49.2,49.2
Papua New Guinea,6.1,54.6,0,4.041770062,31,50.9,50.9
Paraguay,6.18,62.9,16.3,0.493156058,30,46.2,46.2
Peru,6.53,66.5,26.2,5.362369056,36,42.8,42.8
Philippines,6.56,61.1,28,2.97837094,33,44.4,44.4
Poland,6.85,68.7,28.7,3.552349904,56,29.7,29.7
Portugal,7.9,70.8,40,0.595038718,62,33.8,33.8
Qatar,3.24,67.7,9.8,-6.428473517,63,41.1,41.1
Romania,6.4,67.1,21.9,5.316506112,45,36,36
Rwanda,3.1,57.1,61.3,7.401920541,53,43.7,43.7
Saudi Arabia,2.08,55.5,19.9,2.544036759,53,45.9,45.9
Senegal,5.67,60,43,1.676297833,43,40.3,40.3
Serbia,6.22,65.2,38.8,5.847869868,38,36.2,36.2
Sierra Leone,4.86,52,12.3,0.587581535,34,35.7,35.7
Singapore,6.03,84.4,29.5,4.872093269,85,45.9,45.9
Slovenia,7.54,70.5,27.8,3.618340924,57,24.2,24.2
South Africa,7.05,56.2,46.8,3.982026202,44,63,63
Spain,8.12,68.2,44,1.915695738,61,34.7,34.7
Sri Lanka,6.14,53.3,5.4,5.383795801,37,39.8,39.8
Sweden,9.26,77.9,47,2.44824844,85,28.8,28.8
Switzerland,8.83,84.2,41.5,2.225677166,84,32.7,32.7
Tajikistan,1.94,49.7,23.8,4.705231043,25,34,34
Thailand,6.04,63.2,15.8,3.517297966,35,36.4,36.4
Togo,2.8,57.2,18.7,-7.110493624,30,43.1,43.1
Tunisia,6.59,54.2,24.9,2.621322907,44,32.8,32.8
Turkmenistan,1.72,46.2,25,11.81550773,19,40.8,40.8
Uganda,4.94,54.2,34.9,3.016791246,27,42.8,42.8
Ukraine,5.81,54.1,20.8,3.829305329,32,26.1,26.1
United Arab Emirates,2.7,70.2,50,-7.020363051,69,32.5,32.5
United Kingdom,8.54,72.7,33.9,1.891275729,78,34.8,34.8
Uruguay,8.61,70,21.2,7.450006594,73,39.7,39.7
Uzbekistan,2.12,55.7,32,5.713013285,28,36.8,36.8
Zambia,4.86,48.7,16.8,4.471526273,33,57.1,57.1
Zimbabwe,3.16,33.1,31.9,-6.154440866,23,44.3,44.3
